Rank,Model_Family,Hybrid,Model_Architecture,Encoding_Type,Train_MAE,Train_RMSE,Train_R2,Val_MAE,Val_RMSE,Val_R2,Test_MAE,Test_RMSE,Test_R2
1,cnn_bilstm_hybrid_physchem,yes,CNN_BiLSTM,embedding,0.1633306,0.204428753,0.974541187,0.381820798,0.592445044,0.785874963,0.587037504,0.909782791,0.518480361
2,cnn_bilstm_embedding,no,CNN_BiLSTM,embedding,0.293763191,0.374380793,0.904808879,0.409674555,0.533685934,0.842584729,0.518700898,0.759737225,0.567388535
3,cnn_embedding,no,CNN,embedding,0.250531435,0.335019821,0.921058536,0.467812568,0.627295047,0.661891997,0.527573824,0.744337481,0.636105299
4,cnn_embedding_hybrid_physchem,yes,CNN,embedding,0.191632807,0.261973997,0.958190918,0.378136337,0.508448452,0.842287838,0.589134097,0.906937076,0.521487951
5,cnn_onehot,no,CNN,onehot,0.196640804,0.254857775,0.96143645,0.433517754,0.606388648,0.783966541,0.55200845,0.798012427,0.651068449
6,bigru_embedding,no,BiGRU,embedding,0.153704226,0.200988779,0.974774241,0.498081565,0.742522194,0.675338149,0.62240833,0.829262833,0.558258712
7,bilstm_embedding,no,BiLSTM,embedding,0.159907132,0.262928572,0.953172505,0.472292095,0.707048995,0.62212038,0.62488395,0.902459439,0.508467078
8,cnn_onehot_hybrid_physchem,yes,CNN,onehot,0.233553499,0.434191936,0.888070464,0.463450879,0.639365843,0.759830594,0.646319628,0.997066098,0.455285668
9,bigru_embedding_hybrid_physchem,yes,BiGRU,embedding,0.21272777,0.278441781,0.952769399,0.528096735,0.771528025,0.636859417,0.665702522,1.000501388,0.417663574
10,bigru_onehot_hybrid_physchem,yes,BiGRU,onehot,0.41392526,0.581883994,0.798973203,0.50893414,0.723952744,0.692079067,0.73188132,1.001580182,0.450342238
11,bigru_onehot,no,BiGRU,onehot,0.744809568,1.02328624,0.3783077,0.792782962,1.172125726,0.192825973,0.780597389,1.128598234,0.302089691
12,gru_onehot,no,GRU,onehot,0.808101773,1.064589409,0.327107906,0.788057268,1.011826381,0.398506641,0.868795693,1.173766682,0.245108664
13,bilstm_onehot,no,BiLSTM,onehot,1.099196076,1.342592007,-0.070210695,1.077783704,1.36927749,-0.101543784,1.161704421,1.437356444,-0.13200891
14,rnn_onehot,no,RNN,onehot,1.060148597,1.318180914,-0.031647086,1.037314415,1.374438431,-0.109863043,1.086256981,1.400708363,-0.075019479
15,bilstm_embedding_hybrid_physchem,yes,BiLSTM,embedding,1.033120751,1.312493324,-0.049418569,1.03246963,1.318963259,-0.061296582,1.089022517,1.35665134,-0.070717931
16,rnn_embedding,no,RNN,embedding,1.051036954,1.32220851,-131.5723572,1.041273713,1.339798062,N/A,1.100772619,1.378058586,N/A
