Property,Mean,Median,Std,Min,Max,Q1,Q3
Net Charge (pH 7.0),-0.6663140184615907,-0.9987604889676372,1.5257841096388942,-1.9984654551156331,0.9982838886984986,-1.4986129720416352,-0.00023830013456938026
Half-Life (minutes),0.17860238254070282,0.041326746344566345,0.2626049816608429,0.01308654434978962,0.48139384388923645,0.027206645347177982,0.2613602876663208
Hydrophobicity (KD mean),-0.04041666666666665,-0.02999999999999998,0.1858440766700229,-0.23125,0.14000000000000004,-0.130625,0.055000000000000035
Hydrophobic Percentage (%),39.166666666666664,40.0,1.4433756729740643,37.5,40.0,38.75,40.0
Hydrophobicity (KD sum),-0.8666666666666666,-0.2999999999999998,2.59679289380831,-3.7,1.4000000000000004,-2.0,0.5500000000000003
Amphipathicity Index,-0.21666666666666667,-0.2,0.02886751345948128,-0.25,-0.2,-0.225,-0.2
Amphipathic Patterns,4.0,3.0,1.7320508075688772,3.0,6.0,3.0,4.5
Helix Fraction,0.32916666666666666,0.4,0.12268693220279549,0.1875,0.4,0.29375,0.4
Sequence Length,12.0,10.0,3.4641016151377544,10.0,16.0,10.0,13.0
Isoelectric Point (pI),5.830823834737141,4.85259494781494,2.4228474122500265,4.0500284194946286,8.589848136901857,4.451311683654785,6.721221542358398
