epoch,train_loss,train_mse,train_mae,train_rmse,train_r2,train_mape,train_spearman,train_pearson,train_max_error,train_median_ae,train_explained_variance,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_mse,val_mae,val_rmse,val_r2,val_mape,val_spearman,val_pearson,val_max_error,val_median_ae,val_explained_variance,val_accuracy,val_precision,val_recall,val_f1,is_best,early_stopped
1,0.938481318953454,3.145397663116455,1.3454684019088745,1.773526899462327,-0.8674832582473755,29699.890625,-0.02858476346536441,-0.059186793863773346,5.099765777587891,0.9708560705184937,-0.48191678524017334,0.34962406015037595,0.3357723577235772,0.3502723867892407,0.31096771776514215,0.7878351791908866,2.590327739715576,1.1766520738601685,1.6094495144972942,-0.5218559503555298,1.8248549699783325,-0.1800076601698545,-0.20428216457366943,4.349219799041748,0.778409481048584,-0.23034560680389404,0.3157894736842105,0.202020202020202,0.3269230769230769,0.2371794871794872,True,False
2,0.8022804396661153,2.466273784637451,1.208456039428711,1.5704374500875389,-0.4642742872238159,28039.92578125,0.017974506309156143,-0.000615980417933315,5.795766830444336,0.9932900667190552,-0.3449777364730835,0.36466165413533835,0.3817206912795148,0.3655515832482125,0.3456942163838716,0.7445368923638996,2.2832765579223633,1.1630468368530273,1.5110514742795373,-0.341458797454834,1.6607240438461304,-0.1673141108812812,-0.17503955960273743,4.061025619506836,0.9415301084518433,-0.21823668479919434,0.34210526315789475,0.5519713261648745,0.3547008547008547,0.27283324590546126,True,False
3,0.8363849574461916,2.439528465270996,1.256704330444336,1.5618989932998215,-0.44839513301849365,21661.5234375,-0.00488144515281116,0.0019201550167053938,4.618877410888672,1.0772020816802979,-0.3480353355407715,0.33458646616541354,0.33332774635100215,0.33537623425263874,0.3150709242069309,0.7095078104420712,2.086667060852051,1.128745436668396,1.4445300484420707,-0.22594785690307617,1.5587562322616577,-0.12124528113568316,-0.10413607209920883,3.820467472076416,0.9756464958190918,-0.1567314863204956,0.3684210526315789,0.611111111111111,0.38247863247863245,0.2890133831310302,True,False
4,0.827947943058229,2.4382777214050293,1.2516167163848877,1.5614985499208858,-0.4476524591445923,43200.04296875,-0.06393666618482513,-0.04863573610782623,4.6399359703063965,1.05987548828125,-0.408777117729187,0.3082706766917293,0.3104583411791258,0.30907388491658155,0.29219897202112727,0.693513948666422,1.960827112197876,1.126751184463501,1.400295366055989,-0.15201497077941895,1.4637985229492188,-0.03622038633204975,-0.06014063209295273,3.646897792816162,0.9936794638633728,-0.12348067760467529,0.34210526315789475,0.6047619047619047,0.35683760683760685,0.24809186085781829,True,False
5,0.8537689854664013,2.489382028579712,1.2722450494766235,1.5777775599176558,-0.4779942035675049,23466.357421875,-0.09218987903897455,-0.0742887631058693,4.273204803466797,1.0981724262237549,-0.41678953170776367,0.3308270676691729,0.32633158098498277,0.33201395982294857,0.2978579425711275,0.6770614840482411,1.8782410621643066,1.114936113357544,1.3704893513502054,-0.10349440574645996,1.4436572790145874,0.006784483240444365,0.00119395658839494,3.5249624252319336,0.9706966280937195,-0.0829930305480957,0.3157894736842105,0.26851851851851855,0.3311965811965812,0.19722222222222222,True,False
6,0.78311874622241,2.2982656955718994,1.1857761144638062,1.5160031977446153,-0.3645249605178833,24846.326171875,-0.0020144887617955668,0.002435386646538973,4.13971471786499,0.9694137573242188,-0.3225743770599365,0.37593984962406013,0.37846624593612543,0.377170582226762,0.34513131510735073,0.664127191430644,1.813468337059021,1.1048015356063843,1.3466507851180354,-0.06543946266174316,1.3808339834213257,0.06193576635631469,0.038779355585575104,3.4841434955596924,0.929829478263855,-0.05593454837799072,0.3157894736842105,0.26851851851851855,0.3311965811965812,0.19722222222222222,True,False
7,0.7694566478406576,2.253918170928955,1.1861991882324219,1.5013054888759167,-0.33819472789764404,24700.875,0.01445879463561895,0.015158636495471,4.62021541595459,0.9187757968902588,-0.31274962425231934,0.35714285714285715,0.34962700989486706,0.3581035069799115,0.33619802530941456,0.6604317363939787,1.7963424921035767,1.1008872985839844,1.340277020657885,-0.055377840995788574,1.376452088356018,0.10297094724609915,0.05775833502411842,3.4803049564361572,0.9518895745277405,-0.04546999931335449,0.3157894736842105,0.26851851851851855,0.3311965811965812,0.19722222222222222,True,False
8,0.7654380144033217,2.1556990146636963,1.1790217161178589,1.468229891625864,-0.279880166053772,36211.85546875,0.002994475856867505,0.02400572970509529,4.312756538391113,1.0177913904190063,-0.25455594062805176,0.31954887218045114,0.30814327413051007,0.3207780047667688,0.2820345049352683,0.6493081952396192,1.7576754093170166,1.0874093770980835,1.3257735135825488,-0.03266024589538574,1.3562191724777222,0.13962904217430663,0.09905421733856201,3.4516654014587402,0.9619290232658386,-0.023195981979370117,0.3157894736842105,0.26851851851851855,0.3311965811965812,0.19722222222222222,True,False
9,0.7175352347076387,1.9877681732177734,1.1311345100402832,1.4098823260179458,-0.18017637729644775,22892.990234375,0.10813810103574384,0.13959123194217682,4.40612268447876,0.9421888589859009,-0.1609787940979004,0.31203007518796994,0.3245947237696762,0.31286176370446034,0.29381900428205615,0.6378584362958607,1.7442699670791626,1.073906660079956,1.3207081309203645,-0.024784445762634277,1.4061344861984253,0.16742353803032062,0.13357925415039062,3.4714982509613037,0.9621032476425171,-0.002274632453918457,0.34210526315789475,0.44144144144144143,0.358974358974359,0.2108843537414966,True,False
10,0.6800105572867214,1.8312557935714722,1.0816256999969482,1.35323900090541,-0.08725190162658691,22709.361328125,0.18326715073839123,0.2305845022201538,3.6831626892089844,0.8558635115623474,-0.06395459175109863,0.40977443609022557,0.44030810961190703,0.41066564521620696,0.3965519229660382,0.6415477426428544,1.7661155462265015,1.075829029083252,1.3289528006014741,-0.03761899471282959,1.432918906211853,0.13262570463578338,0.12368188053369522,3.5199670791625977,0.9781851172447205,-0.009086966514587402,0.34210526315789475,0.44144144144144143,0.358974358974359,0.2108843537414966,False,False
