Property,Mean,Median,Std,Min,Max,Q1,Q3
Net Charge (pH 7.0),6.664700850293783,7.001969392171907,1.5277385560110144,4.9965091301327265,7.995624028576714,5.999239261152317,7.498796710374311
Half-Life (minutes),10.0136079788208,0.02487952448427677,17.305461883544922,0.019708724692463875,29.996234893798828,0.022294124588370323,15.010557174682617
Hydrophobicity (KD mean),-0.4496653796653798,-0.6675675675675676,0.9007045440546221,-1.2214285714285715,0.5399999999999998,-0.9444980694980696,-0.06378378378378391
Hydrophobic Percentage (%),45.997425997426,42.857142857142854,12.726406006326282,35.13513513513514,60.0,38.996138996138995,51.42857142857143
Hydrophobicity (KD sum),-11.233333333333334,-17.1,17.168964247540774,-24.700000000000003,8.099999999999998,-20.900000000000002,-4.500000000000002
Amphipathicity Index,-0.08005148005148005,-0.14285714285714285,0.2545281201265257,-0.2972972972972973,0.2,-0.22007722007722008,0.02857142857142858
Amphipathic Patterns,10.333333333333334,8.0,4.932882862316248,7.0,16.0,7.5,12.0
Helix Fraction,0.5880308880308881,0.6000000000000001,0.20393155734777438,0.3783783783783784,0.7857142857142858,0.48918918918918924,0.692857142857143
Sequence Length,22.0,15.0,13.0,14.0,37.0,14.5,26.0
Isoelectric Point (pI),10.83051128387451,10.845339012145995,0.2209842196533906,10.602486610412598,11.04370822906494,10.723912811279297,10.944523620605468
