Property,Mean,Median,Std,Min,Max,Q1,Q3
Net Charge (pH 7.0),4.9965091301327265,4.9965091301327265,,4.9965091301327265,4.9965091301327265,4.9965091301327265,4.9965091301327265
Half-Life (minutes),799.7330453754294,799.7330453754294,,799.7330453754294,799.7330453754294,799.7330453754294,799.7330453754294
Hydrophobicity (KD mean),0.5399999999999998,0.5399999999999998,,0.5399999999999998,0.5399999999999998,0.5399999999999998,0.5399999999999998
Hydrophobic Percentage (%),60.0,60.0,,60.0,60.0,60.0,60.0
Hydrophobicity (KD sum),8.099999999999998,8.099999999999998,,8.099999999999998,8.099999999999998,8.099999999999998,8.099999999999998
Amphipathicity Index,0.2,0.2,,0.2,0.2,0.2,0.2
Amphipathic Patterns,7.0,7.0,,7.0,7.0,7.0,7.0
Helix Fraction,0.6000000000000001,0.6000000000000001,,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001
Sequence Length,15.0,15.0,,15.0,15.0,15.0,15.0
Isoelectric Point (pI),10.602486610412598,10.602486610412598,,10.602486610412598,10.602486610412598,10.602486610412598,10.602486610412598
